년월,주택담보대출금리,미국달러,일본엔,유로,소비자물가지수,소비자물가지수증감률,KOSPI_종가,KOSDAQ_종가,무담보콜금리,KORIBOR,CD,국고채_1년,국고채_10년,면적당가격
202006,2.49,1200.7,11.1605,1350.19,99.71,0.3,2108.33,737.97,0.48,0.67,0.79,0.719,1.392,1118.2466427168308
202007,2.45,1191.4,11.3732,1411.21,99.62999999999998,-0.09999999999999999,2249.37,815.3000000000001,0.4799999999999999,0.64,0.7900000000000001,0.689,1.36,1120.7634193591082
202008,2.39,1185.1,11.23,1411.22,100.19,0.6,2326.17,848.24,0.5,0.58,0.68,0.671,1.373,1213.2067733912847
202009,2.44,1173.5,11.1206,1369.42,100.74,0.5,2327.89,848.15,0.48,0.65,0.63,0.705,1.5,1212.1667172588936
202010,2.47,1133.4,10.835,1323.07,100.18,-0.6,2267.15,792.65,0.51,0.66,0.63,0.68,1.507,1192.4313901631888
202011,2.56,1104.4,10.6157,1321.5800000000002,100.09,-0.10000000000000002,2591.3399999999997,886.11,0.49,0.65,0.66,0.6999999999999998,1.61,1282.8709356288907
202012,2.59,1088.0,10.5426,1338.24,100.33,0.2,2873.47,968.4199999999998,0.51,0.75,0.66,0.719,1.675,1348.0807299887344
202101,2.63,1114.6,10.6926,1351.12,101.03999999999999,0.7,2976.2100000000005,928.73,0.49,0.75,0.68,0.6950000000000001,1.731,1336.4370497195453
202102,2.66,1108.4,10.4315,1349.86,101.58,0.5,3012.95,913.94,0.49,0.74,0.73,0.671,1.845,1314.6085852560484
202103,2.73,1133.5,10.2733,1328.29,101.84,0.3,3061.42,956.17,0.49,0.75,0.75,0.684,2.04,1284.1351279451576
202104,2.73,1107.4,10.169,1342.33,101.98,0.1,3147.86,983.45,0.48,0.72,0.74,0.659,2.041,1365.581009573667
202105,2.69,1116.0,10.157,1360.91,102.05,0.1,3203.92,981.7799999999999,0.48000000000000004,0.66,0.68,0.611,2.131,1411.557001511654
202106,2.74,1130.0,10.2212,1344.42,102.05,0.0,3296.68,1029.96,0.51,0.65,0.66,0.798,2.103,1326.7819197778556
202107,2.81,1147.4,10.4848,1364.6,102.26,0.2,3202.32,1031.14,0.53,0.77,0.69,0.91,1.976,1392.888951451445
